journal,date
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
The Journal of pediatrics,02-01-2019
Journal of food protection,01-01-2020
American journal of veterinary research,02-01-2020
Psychopharmacology,01-01-2020
The journal of allergy and clinical immunology. In practice,"01-02-2020,01-03-2020"
The journal of allergy and clinical immunology. In practice,"01-02-2020,01-03-2020"
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Hôpitaux Universitaires de Genève,01-01-2020
Journal of emergency nursing,"01-01-2019,01-01-2019,01-01-2020,01-01-2020,01-01-2020,01-01-2020,25-05-2020"
Journal of emergency nursing\xc3\x28,27-04-2020
